Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
11100,8986684.511811,492415.7965992,24084.06284262,0,0,0,1.521925258929,1.384003668225,2654723.900887,969014.80046641,5092207.146021,0.005622928669899,0,0,0,0,2.50668703998,0,1.521925258929,1.384003668225,4.464878450995,-2.858082749628,1.438808166609,12.464878451,-3965.739492297,754.6551333508,0,0,86411.100,2163,0,0,11096.76771455
11200,8986653.085959,492978.399961,24301.17135038,0,0,0,1.521541600019,1.383789546595,2654799.413436,969090.313501575,5092603.969699,0.005622928668613,0,0,0,0,2.506787719613,0,1.521541600019,1.383789546595,4.464265037711,-2.858465850773,1.438657758674,12.46426503771,-3970.733985778,755.6055538589,0,0,86411.200,2163,0,0,11196.76746266
11300,8986621.619647,493541.0011103,24518.27972473,0,0,0,1.52115883031,1.383575408315,2654875.021022,969165.921574122,5093001.292802,0.005622928667327,0,0,0,0,2.506888530038,0,1.52115883031,1.383575408315,4.463651576726,-2.858848063445,1.438507342131,12.46365157673,-3975.727999633,756.5558830975,0,0,86411.300,2163,0,0,11296.76721046
11400,8986590.112877,494103.6000445,24735.38796445,0,0,0,1.52077694682,1.383361253493,2654950.723637,969241.624675586,5093399.115285,0.005622928666041,0,0,0,0,2.506989471256,0,1.52077694682,1.383361253493,4.463038068353,-2.859229389901,1.43835691706,12.46303806835,-3980.721601158,757.5061338721,0,0,86411.400,2163,0,0,11396.76695794
11500,8986558.565648,494666.1967614,24952.49606841,0,0,0,1.520395946586,1.383147082237,2655026.521273,969317.422797533,5093797.437105,0.005622928664755,0,0,0,0,2.507090543269,0,1.520395946586,1.383147082237,4.4624245129,-2.859609833827,1.438206483541,12.4624245129,-3985.714727951,758.4562943084,0,0,86411.500,2163,0,0,11496.76670511
11600,8986526.97796,495228.7912585,25169.6040354,0,0,0,1.520015826653,1.382932894655,2655102.41392,969393.315931478,5094196.258215,0.005622928663469,0,0,0,0,2.507191746078,0,1.520015826653,1.382932894655,4.461810910676,-2.859989398381,1.438056041655,12.46181091068,-3990.707398367,759.4063678989,0,0,86411.600,2163,0,0,11596.76645196
11700,8986495.349814,495791.3835331,25386.71186421,0,0,0,1.51963658408,1.382718690855,2655178.40157,969469.304068933,5094595.578573,0.005622928662183,0,0,0,0,2.507293079684,0,1.51963658408,1.382718690855,4.461197261991,-2.860368083779,1.437905591481,12.46119726199,-3995.699661347,760.3563639568,0,0,86411.700,2163,0,0,11696.76619849
11800,8986463.68121,496353.973583,25603.81955368,0,0,0,1.51925821594,1.382504470943,2655254.484216,969545.387201416,5094995.398133,0.005622928660897,0,0,0,0,2.50739454409,0,1.51925821594,1.382504470943,4.460583567149,-2.860745896137,1.437755133099,12.46058356715,-4000.691452042,761.3062701421,0,0,86411.800,2163,0,0,11796.7659447
11900,8986431.972147,496916.5614055,25820.92710258,0,0,0,1.518880719316,1.382290235026,2655330.661848,969621.565320408,5095395.71685,0.005622928659611,0,0,0,0,2.507496139295,0,1.518880719316,1.382290235026,4.459969826457,-2.861122836204,1.437604666589,12.45996982646,-4005.682820618,762.2560960008,0,0,86411.900,2163,0,0,11896.7656906
12000,8986400.222627,497479.1469985,26038.03450978,0,0,0,1.518504091306,1.38207598321,2655406.934457,969697.838417426,5095796.53468,0.005622928658325,0,0,0,0,2.507597865303,0,1.518504091306,1.38207598321,4.459356040218,-2.861498908772,1.437454192028,12.45935604022,-4010.673735264,763.2058354793,0,0,86412.000,2163,0,0,11996.76543618
